"job.id" "instance_size" "ipn" "ranking" "type"
439 100 5 "1-2-3" "no-order"
440 100 5 "1-2-3" "no-order"
441 100 5 "1-3-2" "explicit-ranking"
442 100 5 "1-3-2" "explicit-ranking"
443 100 5 "1-3-2" "explicit-ranking"
444 100 5 "1-3-2" "explicit-ranking"
445 100 5 "1-3-2" "explicit-ranking"
446 100 5 "1-3-2" "explicit-ranking"
447 100 5 "1-3-2" "explicit-ranking"
448 100 5 "1-3-2" "explicit-ranking"
449 100 5 "1-3-2" "explicit-ranking"
450 100 5 "1-3-2" "explicit-ranking"
451 100 5 "1-3-2" "no-order"
452 100 5 "1-3-2" "no-order"
453 100 5 "1-3-2" "no-order"
454 100 5 "1-3-2" "no-order"
455 100 5 "1-3-2" "no-order"
456 100 5 "1-3-2" "no-order"
457 100 5 "1-3-2" "no-order"
458 100 5 "1-3-2" "no-order"
459 100 5 "1-3-2" "no-order"
460 100 5 "1-3-2" "no-order"
461 100 5 "2-1-3" "explicit-ranking"
462 100 5 "2-1-3" "explicit-ranking"
463 100 5 "2-1-3" "explicit-ranking"
464 100 5 "2-1-3" "explicit-ranking"
465 100 5 "2-1-3" "explicit-ranking"
466 100 5 "2-1-3" "explicit-ranking"
467 100 5 "2-1-3" "explicit-ranking"
468 100 5 "2-1-3" "explicit-ranking"
469 100 5 "2-1-3" "explicit-ranking"
470 100 5 "2-1-3" "explicit-ranking"
471 100 5 "2-1-3" "no-order"
472 100 5 "2-1-3" "no-order"
473 100 5 "2-1-3" "no-order"
474 100 5 "2-1-3" "no-order"
475 100 5 "2-1-3" "no-order"
476 100 5 "2-1-3" "no-order"
477 100 5 "2-1-3" "no-order"
478 100 5 "2-1-3" "no-order"
479 100 5 "2-1-3" "no-order"
480 100 5 "2-1-3" "no-order"
481 100 5 "2-3-1" "explicit-ranking"
482 100 5 "2-3-1" "explicit-ranking"
483 100 5 "2-3-1" "explicit-ranking"
484 100 5 "2-3-1" "explicit-ranking"
485 100 5 "2-3-1" "explicit-ranking"
486 100 5 "2-3-1" "explicit-ranking"
487 100 5 "2-3-1" "explicit-ranking"
488 100 5 "2-3-1" "explicit-ranking"
489 100 5 "2-3-1" "explicit-ranking"
490 100 5 "2-3-1" "explicit-ranking"
491 100 5 "2-3-1" "no-order"
492 100 5 "2-3-1" "no-order"
493 100 5 "2-3-1" "no-order"
494 100 5 "2-3-1" "no-order"
495 100 5 "2-3-1" "no-order"
496 100 5 "2-3-1" "no-order"
497 100 5 "2-3-1" "no-order"
498 100 5 "2-3-1" "no-order"
499 100 5 "2-3-1" "no-order"
500 100 5 "2-3-1" "no-order"
501 100 5 "3-1-2" "explicit-ranking"
502 100 5 "3-1-2" "explicit-ranking"
503 100 5 "3-1-2" "explicit-ranking"
504 100 5 "3-1-2" "explicit-ranking"
505 100 5 "3-1-2" "explicit-ranking"
506 100 5 "3-1-2" "explicit-ranking"
507 100 5 "3-1-2" "explicit-ranking"
508 100 5 "3-1-2" "explicit-ranking"
509 100 5 "3-1-2" "explicit-ranking"
510 100 5 "3-1-2" "explicit-ranking"
511 100 5 "3-1-2" "no-order"
512 100 5 "3-1-2" "no-order"
513 100 5 "3-1-2" "no-order"
514 100 5 "3-1-2" "no-order"
515 100 5 "3-1-2" "no-order"
516 100 5 "3-1-2" "no-order"
517 100 5 "3-1-2" "no-order"
518 100 5 "3-1-2" "no-order"
519 100 5 "3-1-2" "no-order"
520 100 5 "3-1-2" "no-order"
521 100 5 "3-2-1" "explicit-ranking"
522 100 5 "3-2-1" "explicit-ranking"
523 100 5 "3-2-1" "explicit-ranking"
524 100 5 "3-2-1" "explicit-ranking"
525 100 5 "3-2-1" "explicit-ranking"
526 100 5 "3-2-1" "explicit-ranking"
527 100 5 "3-2-1" "explicit-ranking"
528 100 5 "3-2-1" "explicit-ranking"
529 100 5 "3-2-1" "explicit-ranking"
530 100 5 "3-2-1" "explicit-ranking"
531 100 5 "3-2-1" "no-order"
532 100 5 "3-2-1" "no-order"
533 100 5 "3-2-1" "no-order"
534 100 5 "3-2-1" "no-order"
535 100 5 "3-2-1" "no-order"
536 100 5 "3-2-1" "no-order"
537 100 5 "3-2-1" "no-order"
538 100 5 "3-2-1" "no-order"
539 100 5 "3-2-1" "no-order"
540 100 5 "3-2-1" "no-order"
